Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Observer(s) Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur (cm),Deuxième mesure de l’épaisseur (cm),Initiales de l’observateur
24,8,2002,38,54.4,66.5,"PR, MY"
24,8,2002,39,38,54,"PR, MY"
24,8,2002,40,50,63.5,"PR, MY"
24,8,2002,41,60.5,67.4,"PR, MY"
24,8,2002,42,60.6,53.7,"PR, MY"
24,8,2002,43,52.2,56.3,"PR, MY"
24,8,2002,44,58.7,42.1,"PR, MY"
24,8,2002,45,52.2,43.7,"PR, MY"
24,8,2002,46,53.4,44.5,"PR, MY"
24,8,2002,47,58,66.3,"PR, MY"
24,8,2002,48,59.5,41.9,"PR, MY"
24,8,2002,49,61.6,60.1,"PR, MY"
24,8,2002,50,61.4,46.6,"PR, MY"
24,8,2002,51,60.6,57.8,"PR, MY"
24,8,2002,52,58.1,55.8,"PR, MY"
24,8,2002,53,50.5,47.6,"PR, MY"
24,8,2002,54,55.2,51.7,"PR, MY"
24,8,2002,55,54.7,61.8,"PR, MY"
24,8,2002,56,48,57.5,"PR, MY"
24,8,2002,57,34.1,65.1,"PR, MY"
24,8,2002,58,45,59.7,"PR, MY"
24,8,2002,59,47.2,55,"PR, MY"
24,8,2002,60,40,54.1,"PR, MY"
24,8,2002,61,54.4,60.5,"PR, MY"
24,8,2002,62,55,58.3,"PR, MY"
24,8,2002,63,41.6,58.4,"PR, MY"
24,8,2002,64,58.9,61.7,"PR, MY"
24,8,2002,65,68,61.6,"PR, MY"
24,8,2002,66,58.4,65.5,"PR, MY"
24,8,2002,67,25.3,60.6,"PR, MY"
24,8,2002,68,62.4,49.9,"PR, MY"
24,8,2002,69,51,56.1,"PR, MY"
24,8,2002,70,44.5,51.4,"PR, MY"
24,8,2002,71,54.9,54.5,"PR, MY"
24,8,2002,72,52.4,48.4,"PR, MY"
24,8,2002,73,64.7,62.8,"PR, MY"
24,8,2002,74,50.3,61.2,"PR, MY"
24,8,2002,75,49.2,52,"PR, MY"
24,8,2002,76,57.4,52.5,"PR, MY"
24,8,2002,77,63.6,55.9,"PR, MY"
24,8,2002,78,54.4,57.8,"PR, MY"
24,8,2002,79,30.4,50.4,"PR, MY"
24,8,2002,80,38,38.7,"PR, MY"
24,8,2002,81,46.1,56.5,"PR, MY"
24,8,2002,82,41,62.7,"PR, MY"
24,8,2002,83,39.5,65.6,"PR, MY"
24,8,2002,84,46,60.6,"PR, MY"
24,8,2002,85,67.7,66.2,"PR, MY"
24,8,2002,86,61,63.6,"PR, MY"
24,8,2002,87,60.9,56.1,"PR, MY"
24,8,2002,88,48,55.6,"PR, MY"
24,8,2002,89,52.1,54.1,"PR, MY"
24,8,2002,90,41.4,29.3,"PR, MY"
24,8,2002,91,57.7,59.2,"PR, MY"
24,8,2002,92,72.3,62.1,"PR, MY"
24,8,2002,93,70.5,71.2,"PR, MY"
24,8,2002,94,48.9,65.7,"PR, MY"
24,8,2002,95,62.8,57.8,"PR, MY"
24,8,2002,96,54.7,57.7,"PR, MY"
24,8,2002,97,47,56.1,"PR, MY"
24,8,2002,98,50.2,55.6,"PR, MY"
24,8,2002,99,37,50.1,"PR, MY"
24,8,2002,100,38.6,60.3,"PR, MY"
19,8,2003,1,64,66.2,"DS, KS, DH"
19,8,2003,2,66,65.4,"DS, KS, DH"
19,8,2003,3,64.1,54,"DS, KS, DH"
19,8,2003,4,54.5,63.5,"DS, KS, DH"
19,8,2003,5,61.2,61.8,"DS, KS, DH"
19,8,2003,6,61.7,66.2,"DS, KS, DH"
19,8,2003,7,66.4,44.5,"DS, KS, DH"
19,8,2003,8,58.8,60.5,"DS, KS, DH"
19,8,2003,9,64.1,70.9,"DS, KS, DH"
19,8,2003,10,50.3,60.4,"DS, KS, DH"
19,8,2003,11,63.8,64.7,"DS, KS, DH"
19,8,2003,12,67.5,70.7,"DS, KS, DH"
19,8,2003,13,56.3,58.7,"DS, KS, DH"
19,8,2003,14,62,58.6,"DS, KS, DH"
19,8,2003,15,44.8,47.1,"DS, KS, DH"
19,8,2003,16,63.8,63.6,"DS, KS, DH"
19,8,2003,17,62,48.4,"DS, KS, DH"
19,8,2003,18,65.5,63.6,"DS, KS, DH"
19,8,2003,19,67.7,61.8,"DS, KS, DH"
19,8,2003,20,62.2,66.6,"DS, KS, DH"
19,8,2003,21,65.2,65.4,"DS, KS, DH"
19,8,2003,22,65.9,65.5,"DS, KS, DH"
19,8,2003,23,52.8,63.3,"DS, KS, DH"
19,8,2003,24,60.5,62,"DS, KS, DH"
19,8,2003,25,59.5,50.1,"DS, KS, DH"
19,8,2003,26,59.6,57.6,"DS, KS, DH"
19,8,2003,27,53,57.7,"DS, KS, DH"
19,8,2003,28,59.9,58,"DS, KS, DH"
19,8,2003,29,66.4,53.9,"DS, KS, DH"
19,8,2003,30,64.2,65.6,"DS, KS, DH"
19,8,2003,31,63.6,63,"DS, KS, DH"
19,8,2003,32,66.7,61,"DS, KS, DH"
19,8,2003,33,49.4,66.4,"DS, KS, DH"
19,8,2003,34,65.5,51.6,"DS, KS, DH"
19,8,2003,35,49.4,56.6,"DS, KS, DH"
19,8,2003,36,52.8,58.3,"DS, KS, DH"
19,8,2003,37,59.1,50.4,"DS, KS, DH"
19,8,2003,38,57.5,66.5,"DS, KS, DH"
19,8,2003,39,52.6,61.8,"DS, KS, DH"
19,8,2003,40,64.7,62.8,"DS, KS, DH"
19,8,2003,41,63,62.6,"DS, KS, DH"
19,8,2003,42,64,65.2,"DS, KS, DH"
19,8,2003,43,54.3,66.8,"DS, KS, DH"
19,8,2003,44,50.2,56.1,"DS, KS, DH"
19,8,2003,45,52.9,50.3,"DS, KS, DH"
19,8,2003,46,55.7,62,"DS, KS, DH"
19,8,2003,47,58,64.4,"DS, KS, DH"
19,8,2003,48,54.8,65.5,"DS, KS, DH"
19,8,2003,49,65.8,61.2,"DS, KS, DH"
19,8,2003,50,72.1,70.2,"DS, KS, DH"
19,8,2003,51,59.6,59.9,"DS, KS, DH"
19,8,2003,52,62.6,48.8,"DS, KS, DH"
19,8,2003,53,52.2,54.8,"DS, KS, DH"
19,8,2003,54,56.5,51.7,"DS, KS, DH"
19,8,2003,55,55.4,54,"DS, KS, DH"
19,8,2003,56,46.5,54.5,"DS, KS, DH"
19,8,2003,57,68.4,47.1,"DS, KS, DH"
19,8,2003,58,62.5,63.7,"DS, KS, DH"
19,8,2003,59,60.9,61.2,"DS, KS, DH"
19,8,2003,60,62.4,60.8,"DS, KS, DH"
19,8,2003,61,55.3,60.4,"DS, KS, DH"
19,8,2003,62,59.1,62.3,"DS, KS, DH"
19,8,2003,63,54,62,"DS, KS, DH"
19,8,2003,64,63.7,64.2,"DS, KS, DH"
19,8,2003,65,63.9,67,"DS, KS, DH"
19,8,2003,66,66.2,71.4,"DS, KS, DH"
19,8,2003,67,68.1,55.7,"DS, KS, DH"
19,8,2003,68,45.4,57.5,"DS, KS, DH"
19,8,2003,69,54.9,56.2,"DS, KS, DH"
19,8,2003,70,52,54.1,"DS, KS, DH"
19,8,2003,71,59.5,60.3,"DS, KS, DH"
19,8,2003,72,66.3,62.1,"DS, KS, DH"
19,8,2003,73,72,63.8,"DS, KS, DH"
19,8,2003,74,66.3,70.5,"DS, KS, DH"
19,8,2003,75,68.4,47,"DS, KS, DH"
19,8,2003,76,50,61.2,"DS, KS, DH"
19,8,2003,77,56,60.7,"DS, KS, DH"
19,8,2003,78,55.3,55.4,"DS, KS, DH"
19,8,2003,79,60.3,46,"DS, KS, DH"
19,8,2003,80,50.2,51.5,"DS, KS, DH"
19,8,2003,81,53.5,52.8,"DS, KS, DH"
19,8,2003,82,51.8,65.2,"DS, KS, DH"
19,8,2003,83,55,63.7,"DS, KS, DH"
19,8,2003,84,64.4,49.2,"DS, KS, DH"
19,8,2003,85,66.6,65.4,"DS, KS, DH"
19,8,2003,86,65.7,56.9,"DS, KS, DH"
19,8,2003,87,54.9,55.6,"DS, KS, DH"
19,8,2003,88,53.3,59.3,"DS, KS, DH"
19,8,2003,89,43.6,48,"DS, KS, DH"
19,8,2003,90,58.1,48.8,"DS, KS, DH"
19,8,2003,91,62.3,64,"DS, KS, DH"
19,8,2003,92,53,69.1,"DS, KS, DH"
19,8,2003,93,66.4,58.3,"DS, KS, DH"
19,8,2003,94,68,66.9,"DS, KS, DH"
19,8,2003,95,62.8,68.6,"DS, KS, DH"
19,8,2003,96,52.7,63.9,"DS, KS, DH"
19,8,2003,97,55.8,58,"DS, KS, DH"
19,8,2003,98,51,57.8,"DS, KS, DH"
19,8,2003,99,48.7,41.6,"DS, KS, DH"
19,8,2003,100,34.5,43.5,"DS, KS, DH"
7,8,2004,1,64.1,70,"DH, BF"
7,8,2004,2,61.9,63.6,"DH, BF"
7,8,2004,3,56.5,58.1,"DH, BF"
7,8,2004,4,66.6,53.9,"DH, BF"
7,8,2004,5,57,58.2,"DH, BF"
7,8,2004,6,61.2,61.7,"DH, BF"
7,8,2004,7,65.6,51.7,"DH, BF"
7,8,2004,8,57.5,63.9,"DH, BF"
7,8,2004,9,67.9,65,"DH, BF"
7,8,2004,10,60.8,56.5,"DH, BF"
7,8,2004,11,65.8,66.3,"DH, BF"
7,8,2004,12,64.7,66.3,"DH, BF"
7,8,2004,13,50.3,57.8,"DH, BF"
7,8,2004,14,61.4,62.7,"DH, BF"
7,8,2004,15,50.2,57.6,"DH, BF"
7,8,2004,16,64.2,62.4,"DH, BF"
7,8,2004,17,58.7,64.1,"DH, BF"
7,8,2004,18,64.1,58.7,"DH, BF"
