Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Terrain,Observer Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur,Deuxième mesure de l’épaisseur,Terrain,Initiales de l’observateur
6,8,2011,58,31,26,FG,"SC, DK"
6,8,2011,59,28.5,24,FG,"SC, DK"
6,8,2011,60,33.5,40,FG,"SC, DK"
6,8,2011,61,57,40,FG,"SC, DK"
6,8,2011,62,57,30.5,FG,"SC, DK"
6,8,2011,63,39,43,FG,"SC, DK"
6,8,2011,64,34,33.5,FG,"SC, DK"
6,8,2011,65,24,32.5,FG,"SC, DK"
6,8,2011,66,25.5,22.5,FG,"SC, DK"
6,8,2011,67,22.5,27,FG,"SC, DK"
6,8,2011,68,31.5,17,FG,"SC, DK"
6,8,2011,69,24,20.5,FG,"SC, DK"
6,8,2011,70,29.5,31,FG,"SC, DK"
6,8,2011,71,66,49.5,FG,"SC, DK"
6,8,2011,72,60.5,47.5,FG,"SC, DK"
6,8,2011,73,59,59.5,FG,"SC, DK"
6,8,2011,74,58.5,45,FG,"SC, DK"
6,8,2011,75,46,56.5,FG,"SC, DK"
6,8,2011,76,38.5,34.5,FG,"SC, DK"
6,8,2011,77,21.5,25,FG,"SC, DK"
6,8,2011,78,25,22,FG,"SC, DK"
6,8,2011,79,24.5,23.5,FG,"SC, DK"
6,8,2011,80,30.5,21,FG,"SC, DK"
6,8,2011,81,67,50.5,FG,"SC, DK"
6,8,2011,82,60.5,56.5,FG,"SC, DK"
6,8,2011,83,52,61,FG,"SC, DK"
6,8,2011,84,31.5,59,FG,"SC, DK"
6,8,2011,85,56.5,54,FG,"SC, DK"
6,8,2011,86,56,57.5,FG,"SC, DK"
6,8,2011,87,35.5,40.5,FG,"SC, DK"
6,8,2011,88,24.5,23,FG,"SC, DK"
6,8,2011,89,26.5,29.5,FG,"SC, DK"
6,8,2011,90,22,19.5,FG,"SC, DK"
6,8,2011,91,44,49,FG,"SC, DK"
6,8,2011,92,52,49,FG,"SC, DK"
6,8,2011,93,63,52,FG,"SC, DK"
6,8,2011,94,37.5,62,FG,"SC, DK"
6,8,2011,95,37.5,53,FG,"SC, DK"
6,8,2011,96,46.5,48.5,FG,"SC, DK"
6,8,2011,97,30.5,31,FG,"SC, DK"
6,8,2011,98,30,26.5,FG,"SC, DK"
6,8,2011,99,25,32,FG,"SC, DK"
6,8,2011,100,29,29.5,FG,"SC, DK"
2,8,2012,1,44.5,40,FG,MNK
2,8,2012,2,31,27,FG,MNK
2,8,2012,3,28,28,FG,MNK
2,8,2012,4,28,39,FG,MNK
2,8,2012,5,32,34,FG,MNK
2,8,2012,6,25,26,FG,MNK
2,8,2012,7,26,29,FG,MNK
2,8,2012,8,33,31,FG,MNK
2,8,2012,9,43,33,FG,MNK
2,8,2012,10,36,29,FG,MNK
2,8,2012,11,68,52,FG,MNK
2,8,2012,12,48,41,FG,MNK
2,8,2012,13,46,43,FG,MNK
2,8,2012,14,38,37,FG,MNK
2,8,2012,15,25,24,FG,MNK
2,8,2012,16,29,31,FG,MNK
2,8,2012,17,29,27,FG,MNK
2,8,2012,18,29,28,FG,MNK
2,8,2012,19,30,24,FG,MNK
2,8,2012,20,30,30,FG,MNK
2,8,2012,21,44,48,FG,MNK
2,8,2012,22,37,42,FG,MNK
2,8,2012,23,29,35,FG,MNK
2,8,2012,24,27,29,FG,MNK
2,8,2012,25,34,38,FG,MNK
2,8,2012,26,27,27,FG,MNK
2,8,2012,27,27,30,FG,MNK
2,8,2012,28,26,32,FG,MNK
2,8,2012,29,45,47,FG,MNK
2,8,2012,30,49,39,FG,MNK
2,8,2012,31,51,52,FG,MNK
2,8,2012,32,43,42,FG,MNK
2,8,2012,33,30,35,FG,MNK
2,8,2012,34,30,29,FG,MNK
2,8,2012,35,32,30,FG,MNK
2,8,2012,36,25,30,FG,MNK
2,8,2012,37,29,32,FG,MNK
2,8,2012,38,28,29,FG,MNK
2,8,2012,39,29,28,FG,MNK
2,8,2012,40,33,44,FG,MNK
2,8,2012,41,29,30,FG,MNK
2,8,2012,42,35,40,FG,MNK
2,8,2012,43,51,48,FG,MNK
2,8,2012,44,33,29,FG,MNK
2,8,2012,45,27,29,FG,MNK
2,8,2012,46,25,28,FG,MNK
2,8,2012,47,29,27,FG,MNK
2,8,2012,48,34,28,FG,MNK
2,8,2012,49,29,30,FG,MNK
2,8,2012,50,29,57,FG,MNK
2,8,2012,51,51,55,FG,MNK
2,8,2012,52,43,45,FG,MNK
2,8,2012,53,39,40,FG,MNK
2,8,2012,54,37,41,FG,MNK
2,8,2012,55,27,34,FG,MNK
2,8,2012,56,24,27,FG,MNK
2,8,2012,57,31,34,FG,MNK
2,8,2012,58,24,24,FG,MNK
2,8,2012,59,33,30,FG,MNK
2,8,2012,60,37,35,FG,MNK
2,8,2012,61,41,43,FG,MNK
2,8,2012,62,46,48,FG,MNK
2,8,2012,63,40,43,FG,MNK
2,8,2012,64,42,40,FG,MNK
2,8,2012,65,32,42,FG,MNK
2,8,2012,66,32,28,FG,MNK
2,8,2012,67,25,23,FG,MNK
2,8,2012,68,28,35,FG,MNK
2,8,2012,69,21,24,FG,MNK
2,8,2012,70,30,29,FG,MNK
2,8,2012,71,45,68,FG,MNK
2,8,2012,72,45,56,FG,MNK
2,8,2012,73,62,68,FG,MNK
2,8,2012,74,47,46,FG,MNK
2,8,2012,75,43,36,FG,MNK
